Date,Open,High,Low,Close,Adj Close,Volume
2012-05-10,9970000,10000000,9500000,9800000,7945550,6900
2012-05-11,9700000,9700000,9700000,9700000,7864471,300
2012-05-14,9800000,9800000,9800000,9800000,7945550,100
2012-05-15,9750000,9750000,9750000,9750000,7905012,300
2012-05-16,9750000,9750000,9750000,9750000,7905012,0
2012-05-17,9600000,9600000,9600000,9600000,7783393,800
2012-05-18,9600000,9600000,9600000,9600000,7783393,0
2012-05-21,9600000,9600000,9600000,9600000,7783393,0
2012-05-22,9690000,9690000,9690000,9690000,7856363,1500
2012-05-23,9770000,9770000,9600000,9600000,7783393,153600
