Date,Open,High,Low,Close,Adj Close,Volume
2012-05-10,9.970.000,10.000.000,9.500.000,9.800.000,7.945.550,6900
2012-05-11,9.700.000,9.700.000,9.700.000,9.700.000,7.864.471,300
2012-05-14,9.800.000,9.800.000,9.800.000,9.800.000,7.945.550,100
2012-05-15,9.750.000,9.750.000,9.750.000,9.750.000,7.905.012,300
2012-05-16,9.750.000,9.750.000,9.750.000,9.750.000,7.905.012,0
2012-05-17,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,800
2012-05-18,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-05-21,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-05-22,9.690.000,9.690.000,9.690.000,9.690.000,7.856.363,1500
2012-05-23,9.770.000,9.770.000,9.600.000,9.600.000,7.783.393,153600
2012-05-24,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,37000
2012-05-25,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,61700
2012-05-29,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-05-30,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-05-31,9.590.000,9.610.000,9.560.000,9.610.000,7.791.504,400
2012-06-01,9.610.000,9.610.000,9.610.000,9.610.000,7.791.504,0
2012-06-04,9.610.000,9.610.000,9.610.000,9.610.000,7.791.504,0
2012-06-05,9.610.000,9.610.000,9.610.000,9.610.000,7.791.504,0
2012-06-06,9.550.000,9.700.000,9.550.000,9.700.000,7.864.471,1000
2012-06-07,9.700.000,9.700.000,9.700.000,9.700.000,7.864.471,0
2012-06-08,9.550.000,9.550.000,9.550.000,9.550.000,7.742.855,500
2012-06-11,9.550.000,9.550.000,9.550.000,9.550.000,7.742.855,0
2012-06-12,9.550.000,9.550.000,9.550.000,9.550.000,7.742.855,0
2012-06-13,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,1000
2012-06-14,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-06-15,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,100
2012-06-18,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-06-19,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-06-20,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
2012-06-21,9.600.000,9.600.000,9.600.000,9.600.000,7.783.393,0
